Title;Title_cat
Holman Elbow Plank Pike Pull;1285
Holman Hand-Elevated Walk-Over Push-Up;1332
Holman Hands-Elevated Hill Climber;1336
Holman Seated Pike;1469
Holman Feet-Elevated Up-Down Plank;1314
Holman Feet-Elevated Hand Tap;1298
Holman Reverse Straight Plank with Alternating Heel Pull-In;1437
Holman Elbow Plank;1278
Holman Straight Plank Squat Thrust;1528
Holman Alternating Single-Leg Pike;1226
Holman Knee Pull-In Crunch;1372
Holman Straight Plank with Hand Tap;1534
Holman Straight Plank with Dirty Dog;1533
Holman Elbow Plank Roll;1286
Holman Froggy Push-Up;1326
Holman Straight Plank Hand Tap to Shoulder Tap;1520
Holman In-Out Straight Plank;1363
Holman Bicycle;1237
Holman Alternating Diagonal Knee Pull-in;1213
Holman Elbow Plank with Step-Out;1294
Holman Alternating Slow L-Raise;1227
Holman Feet-Elevated Plank with Shoulder Tap;1306
Holman Feet-Elevated Inchworm Pike to Straight Plank Push-Up;1301
Holman Feet-Elevated Up-Down Elbow Plank;1313
Holman Feet-Elevated Plank Pike Pull;1303
Holman Feet-Elevated Alternating Single-Leg Hip Raise;1296
Holman Feet-Elevated Plank Pike Pull to Push-Up;1304
Holman Standing Heel Click;1513
Holman Straight Plank Right-Left Jack to Split Jack;1525
Holman Elbow Plank Jack to Ninja Knees;1281
Holman Right Side Elbow Plank with Left Leg Swing;1458
Holman Left Side Elbow Plank with Right Leg Swing;1394
Holman Straight Plank with Alternating Diagonal Sit-Back;1531
Holman Boat Press with Leg Extension;1239
Holman Shoulder Tap to Dirty Dog;1470
Holman Standing Russian Twist;1515
Holman Hovering Plank with Shoulder Tap;1360
Holman Elbow Plank to Stacked Plank Hip Drop;1291
Holman Elbow Plank to Walk-Up Pike;1293
Holman Hill Climber;1354
Holman Straight Plank Pike to Renegade Row;1523
Holman Alternating Hip Drop to Push-Up;1220
Holman Crab Kick;1259
Holman Wounded Bear Crawl;1611
Holman Alternating Crab Reach;1212
Holman Hovering Panther Core Stabilizer;1358
Holman Burpee to Forward Lunge;1248
Holman Seated Knee Pull-In Series;1468
Holman Elbow Plank Pike;1284
Holman Elbow Plank Jack to Straight Plank Split Jack;1282
Holman Boat Pull-Over;1240
Holman Squat Pulse to Plyometric Jump;1496
Holman Hands Down Heel Click;1333
Holman Straight Plank to Kick-Up;1530
Holman Hands-Elevated Split Jack;1339
Holman Feet-Elevated Plank Reach;1305
Holman Hand-Elevated Side Plank Semicircle;1331
Holman Hands-Elevated Straight Plank Pike;1341
Holman Alternating Rolling Elbow Plank;1223
Holman Elbow Plank Jack;1280
Holman Squat Thrust to Alternating Knee-In;1501
Holman Supine Double Pike;1540
Holman Elbow Plank Alternating Pike;1279
Holman Seated Killer Abs;1466
Holman Side Plank Hip Drop;1473
Holman Wide Hill Climber;1606
Holman Straight-Legged Bicycle;1537
Holman Stair Toe Tap;1511
Holman Elbow Plank Ninja;1283
Holman Traveling Stair Climb Push-Up;1564
Holman Hands-Elevated Burpee;1335
Holman Straight Plank Donkey Kick;1518
Holman Feet-Elevated Straight Plank Pike Pull;1311
Holman Towel Burpee;1545
Holman Elbow Plank to Alternating Side Plank Crunch;1289
Holman Straight-Legged Hip Raise;1539
Holman Feet-Elevated Hill Climber;1299
Holman Ninja Knee Hill Climber;1407
Holman Feet-Elevated Shoulder Tap;1309
Holman Feet-Elevated Hip Raise;1300
Holman Left Hand Right Foot Crab Reach;1380
Holman Alternating Crab Flip to Froggy Push-Up to Kicks;1211
Holman Right Hand Left Foot Sleeping Crab;1445
Holman Left Hand Right Foot Sleeping Crab;1381
Holman Straight Plank with Alternating Leg Kick-Under;1532
Holman Right Hip Drop Push-Up;1446
Holman Right Side Diagonal Burpee;1457
Holman Left Hip Drop Push-Up;1382
Holman Right Leg 7-Up Crunch;1447
Holman Left Leg 7-Up Crunch;1383
Holman Straight Plank Jack;1521
Holman Feet-Elevated Couch Hill Climber;1297
Holman Feet-Elevated Right Side Plank;1308
Holman Alternating Up-Down Plank to Push-Up;1229
Holman Straight Plank Pike;1522
Holman Ninja Knee Straight Plank;1408
Holman Reverse Crunch to Hip Raise;1436
Holman Straight Plank Quick Reach;1524
Holman Alternating Diagonal Straight Plank;1214
Holman Feet-Elevated Left Side Plank;1302
Holman Right Hand Left Foot Crab Reach;1444
Holman Low-Impact Crab Kick;1400
Holman Alternating Crab Flip to Froggy Push-Up;1210
Holman High-Impact Crab Kick;1353
Holman Single-Leg Right Pike;1476
Holman Single-Leg Left Pike;1475
Holman Shoulder Tap to Hand Tap;1471
Holman Towel Reverse Plank Jack;1555
Holman Side-to-Side Twist;1474
Holman Crab Kick with Hop;1260
Holman Crab Reach to Crab Kick;1261
Holman Wide Squat Side-to-Side Obliques;1607
Holman Side Plank Crunch;1472
Total Fitness Ab Tuck;2690
Active hang from bar;228
Cat-cow;522
Crab walk;568
Lunge with overhead reach;1819
Hang from bar;1171
Total Fitness Hollow Hold;2699
Total Fitness Side Plank;2702
Side plank pulse;2316
Total Fitness Spider Crawl (Unweighted);2704
Total Fitness V-Up;2707
MetaBurn Alternating Knee-to-Elbow Mountain Climber;1904
Alternating sit-through with crunch-;256
MetaBurn Alternating Toe-Touch;1909
MetaBurn Janda Sit-Up;1926
MetaBurn Oblique Roll Crunch;1929
MetaBurn Plank Jack;1931
MetaBurn Plank To Alternating Side Plank;1933
MetaBurn Plank Up-Down;1934
MetaBurn Plank Wiper;1935
MetaBurn Plank With Alternating Toe-Touch;1936
MetaBurn Plyo Push-Up;1938
MetaBurn Psycho Crunch;1939
MetaBurn Scapular Retraction Plank;1945
MetaBurn Scapular Retraction Plank Hold;1946
MetaBurn Scorpion;1947
MetaBurn Side Crawler;1948
MetaBurn Side Plank Oblique Crunch;1949
MetaBurn Sit-Through;1952
MetaBurn Sit-Up To V-Up;1953
MetaBurn Sit-Up With Rotation;1954
MetaBurn Split-Leg Crunch;1958
MetaBurn Tabletop Hip Thrust;1963
MetaBurn Tabletop With Russian Kick;1964
MetaBurn Toe Driver Abs;1965
MetaBurn-V-Up;1967
X-body V-up;2868
MetaBurn Swivel Crunch;1962
Robertson Core-Engaged Dead Bug;2190
FYR2 Double-Under;855
FYR2 Fire Feet with Burpee Tuck Jump Drill;868
FYR2 Flutter Kick;869
FYR2 Half-Moon;873
FYR2 Leopard Crawl;896
FYR2 Plank Alternating Front Step;905
FYR2 Shoulder Tap;916
Hand shift plank;1164
Cross-body plank march;575
Bent-knee Copenhagen hip adduction;422
Copenhagen plank;565
ACFT Hanging leg tuck;185
Alternating hanging knee raise;250
Plank To Sphinx;2090
Twisting Mountain Climbers;2726
Jack Knives;1670
Hanging Leg Raises;1174
Standing Hip Circles;2545
Fire Hydrant;944
Single-leg lying cross-over stretch;2423
Windmills;2864
Monster Walk;1972
IT Band and Glute Stretch;1618
Standing hip circle;2578
Dynamic pigeon stretch;751
Cross-over jack;579
Traveling thigh killa;2714
FYR Thigh Killa;829
HM Straddle Stretch;1135
HM Right Leg Swing;1103
HM Right Side-Kick;1108
HM Frog Stretch;1052
HM Kick-Out;1073
MetaBurn Groiner;1923
Groiners;988
Side Leg Raises;2303
Lateral hop;1779
Side Lying Groin Stretch;2305
Carioca quick step;521
Lateral cone hop;1778
Side-To-Side Adductor Stretch;2318
HM Left Leg Swing;1077
UNS Foam Roll Adductor;2769
Side-lying leg adduction scissor;2319
Seated Biceps;2228
TBS Chin-Up;2647
Pull-up - Gethin Variation;2124
UN Pull-Up Supinated;2758
UN Pull-Up Pronated;2757
UN Pull-Up Neutral;2756
Knee Circles;1746
Peroneals-SMR;2082
Standing Gastrocnemius Calf Stretch;2542
Wall calf stretch;2831
Seated Calf Stretch;2234
Standing Calf Raise;2531
Standing calf raise-;2568
HM Left Calf-Spike Sumo Pulse;1075
Hands-elevated push-up;1165
Single-Arm Push-Up;2331
Wide-grip hands-elevated push-up;2863
Isometric Wipers;1667
Clock push-up;546
Push-Up Wide;2130
Close-Hands Push-Up;552
Tiger-bend push-up;2685
Plyo push-up;2106
Isometric Chest Squeezes;1664
Side-to-side push-up;2322
Typewriter push-up;2738
Judo push-up;1679
Superman Push-Up;2620
Wide push-up;2854
One-Arm Push-Up;2023
Clapping Push-Up;538
Staggered push-up;2518
Reverse-grip hands-elevated push-up;2182
Triple Clap Push-Up;2725
Pushups;2138
Incline Push-Up;1637
Decline Push-Up;601
Close push-up to wide push-up;548
Push-Ups With Feet On An Exercise Ball;2132
Feet-elevated push-up;942
Dumbbell suitcase crunch;745
Medicine ball rotational throw;1893
Hollow-hold ball toss;1203
Sit-up with single-arm overhand throw;2430
Medicine ball partner twist;1890
Medicine ball half moon;1887
Exercise ball roll-out;778
Medicine ball pass;1891
Partner medicine ball sit-up;2055
Medicine ball Russian twist;1884
30 Medicine Ball Slam;140
Medicine ball twist;1897
FYR2 Medicine Ball Complex;899
FYR2 Medicine Ball Fire-Feet Drill;900
FYR2 Medicine Ball Knees-to-Chest;901
FYR2 Medicine Ball Mountain Climber;902
Exercise Ball Pull-In;767
Exercise ball crunch;772
Feet-elevated crunch;939
Swiss Ball Ab Roll-Out;2639
Exercise Ball Cable Crunch - Gethin Variation;765
Exercise ball squat and twist;779
Swiss Ball V-Up With Foot Pass;2640
Exercise ball pike;776
Exercise ball bird dog;770
Exercise ball superman;780
BOSU cross-body crunch;277
Exercise Ball Knee Tuck - Gethin Varation;766
Alternating Exercise Ball Knee Tucks - Gethin Variation;239
AM Ball Crunch;192
30 Bosu Cable Reverse Crunch;75
BOSU knee tuck;278
30 Side Plank On Ball;174
Hanging exercise ball leg raise;1178
Taylor Exercise Ball Stir-The-Pot;2671
FYR2 Air Ball;832
Feet-elevated plank on ball;941
Lateral Band Walk;1772
FYR2 Standing Banded Leg Abduction;931
Iliotibial band SMR;1619
Lateral box jump;1777
Thigh adductor;2683
Thigh abductor;2682
Incline Push-Up Depth Jump;1638
Sphinx push-up;2490
Close-grip hands-elevated push-up;558
Suspended push-up;2634
Push Up to Side Plank;2127
Diamond push-up;619
Side kick-through push-up;2310
Swimming;2638
FYR Push-Up;819
Frog push-up;960
Wide push-up plank hold;2855
Close push-up;547
Push-Up - Gethin Variation;2128
HM Incline Push-Up On Chair;1064
HM Push-Up;1096
HM Push-Plank;1095
AM Chest Dips;199
Push-up;2135
UP Push-up;2803
UN Push-Up;2759
UNS Foam Roll Pecs;2771
UN Hands Elevated Push-Up;2755
Incline dumbbell biceps curl;1650
Banded biceps curl in squat position;316
Banded Hammer Press - Gethin Variation;314
Band standing concentration curl;308
EZ-bar spider curl;758
Barbell Curl;332
Preacher Curl;2118
Reverse-grip barbell curl;2177
Dave Draper Forehead Curl;588
Reverse-grip EZ-bar curl;2176
EZ-Bar Spider Curl - Gethin Variation;755
Barbell curl-;356
Paul Carter Barbell Curl;2064
Standing band biceps curl;2557
Close-Grip EZ-Bar Curl - Gethin Variation;549
Seated Barbell Curl;2225
AM Standing Barbell Curl;218
EZ-bar preacher curl;756
30 Arms Standing Barbell Curl;37
30 Arms Incline Biceps Curl;23
"Bicep Curls ""21s""";429
Hammer Curls;1158
Concentration curl;564
Dumbbell Bicep Curl;643
Dumbbell Alternate Bicep Curl;640
Single-arm dumbbell preacher curl;2361
Alternate Incline Dumbbell Curl;236
Alternating incline dumbbell biceps curl;252
Alternate Hammer Curl;235
Seated dumbbell biceps curl;2268
Dumbbell preacher curl;718
Seated hammer curl;2273
Paul Carter Incline Dumbbell Biceps Curl;2072
Paul Carter Concentration Curl;2068
FYR Dumbbell Curl;797
Dumbbell biceps curl to upright row;694
FYR Dumbbell Hammer Curl;799
Dumbbell overhead hold with single-arm curl;717
FYR Kneeling Biceps;814
Lunge hold dumbbell curl;1817
FYR Dumbbell Biceps Curl;796
Alternating dumbbell snatch;248
TBS Incline Dumbbell Curl;2658
TBS Hammer Curl;2656
Reverse-grip dumbbell curl;2181
Incline Dumbbell Curl - Gethin Variation;1626
Hammer curl;1160
Seated Dumbbell Curl - Gethin Variation;2236
Dumbbell Hammer Curl - Gethin Variation;674
Single-arm seated dumbbell curl;2398
Lying Cable Curl - Gethin Variation;1821
Dumbbell biceps curl;693
Seated Biceps Hammer Curl;2229
HM Alternating Reverse Lunge With Biceps Curl;1000
AM Hammer Curls;207
AM Seated Hammer Curls;214
Seated alternating biceps curl;2261
Alternating hammer curl;249
Alternating biceps curl;246
Holman Slow Biceps Curl;1480
Holman Biceps Curl to Chest Punch;1236
Holman Right Arm Heavy Biceps Curl;1438
Holman Left Arm Heavy Biceps Curl;1375
Holman Alternating Front Lunge Biceps Curl;1218
Holman Weighted Double-Time Biceps Curl;1580
Holman Heavy Right Arm Biceps Curl;1348
Holman Heavy Left Arm Biceps Curl;1346
MetaBurn Dumbbell Drag Curl;1916
MetaBurn Hammer Curl to Overhead Press;1924
MetaBurn Biceps Curl To Lateral Raise;1912
FYR2 Alternating Dumbbell Curl;833
FYR2 Pulse Biceps Curl;907
FYR2 Seesaw Dumbbell Biceps Curl;914
FYR2 Single-Dumbbell Biceps Curl;920
FYR2 Dumbbell Curl-Row Complex;859
30 Arms Standing Dumbbell Hammer Curl 21s;39
30 Arms Standing Biceps Curl;38
30 Arms Standing Alternating Hammer Curl;36
30 Arms Standing Alternating Biceps Curl;35
30 Arms Single-Arm Hammer Preacher Curl;32
30 Arms Single-Arm Dumbbell Preacher Curl;31
30 Arms Seated Dumbbell Concentration Curl;30
30 Arms Seated Biceps Curl;29
30 Arms Seated Alternating Biceps Curl;28
30 Arms Incline Hammer Curl;25
30 Arms Incline Dumbbell Triceps Extension;24
30 Arms Hammer Curl;21
Barbell spider curl;379
Barbell forehead curl;361
Overhead cable curl;2033
Standing Biceps Cable Curl;2524
Cable rope hammer curl;500
Cable EZ-Bar Preacher Curl - Gethin Variation;481
Squatting cable EZ-bar biceps curl;2517
Cable straight-bar biceps curl;507
Standing reverse-grip cable curl;2584
Lying high-cable biceps curl;1848
High-Pulley Cable Curl - Gethin Variation;1194
Standing High Cable Curl - Gethin Variation;2544
High Cable Curls;1189
Seated cable biceps curl;2264
Lying Close-Grip Bar Curl On High Pulley - Gethin Variation;1823
Standing Cable Curl - Gethin Variation;2529
Double Arm Cable Biceps Curl;622
AM Cable Biceps Curl;197
UP Cable Curl With Straight Bar;2789
30 Arms Cable Rope Hammer Curl;8
30 Arms Squatting Cable Straight-Bar Curl;34
30 Arms High Cable Curl;22
30 Arms Cable Straight-Bar Curl;11
30 Arms Cable Concentration Curl;7
30 Arms BFR High Cable Curl;4
BFR cable rope hammer curl;273
Single-arm machine preacher curl;2395
Machine preacher curl;1873
Smith machine drag curl;2463
30 Arms BFR Machine Preacher Curl;5
Holman Seal Drag to Push-Up;1465
Holman Hand-Elevated Push-Up with Hand Row;1330
Holman Push-Up;1424
Holman Slow Hips-Up Chest Press;1482
Holman Jump-Out Push-Up with Hand Hop Back;1366
EZ-Bar Curl;752
Standing EZ-Bar Curl - Gethin Variation;2539
TBS EZ-Bar Curl;2653
Standing EZ-bar curl;2540
30 Arms Standing Overhand EZ-Bar Curl;41
30 Arms EZ-Bar Spider Curl;20
30 Arms EZ-Bar Preacher Curl;18
30 Arms Standing EZ-Bar Curl;40
Peroneals Stretch;2081
Posterior Tibialis Stretch;2110
Smith machine standing calf raise;2475
Standing Dumbbell Calf Raise;2534
Single-leg standing dumbbell calf raise;2426
Dumbbell walking calf raise;748
Weighted donkey calf raise;2848
Agility Ladder;231
Single-leg machine seated calf raise;2425
Smith Machine Calf Raise;2447
Seated Calf Raise;2232
Calf Press On The Leg Press Machine;512
Seated Single-Leg Calf Press - Gethin Variation;2258
Seated Calf Raise - Gethin Variation;2233
Donkey Calf Raise - Gethin Variation;621
Standing Calf Raise Facing Hack Squat Machine - Gethin Variation;2532
Calf Press On A Hack Squat Machine - Gethin Variation;511
Smith Machine Standing Calf Raises - Gethin Variation;2452
Hack squat calf raise;1154
Seated Calf Press - Gethin Variation;2231
Leg press calf raise;1791
Machine seated calf raise;1875
30 Legs Seated Calf Raise;130
30 Legs Standing Calf Raise;137
Holman Froggy Push-Up to Donkey Kick;1327
Holman Push-Up to Sit Back;1426
Holman Sit Back Push-Up;1477
Holman Alternating Staggered Push-Up;1228
Holman Foot-Up Diving Push-Up;1322
Holman Narrow Push-Up;1405
Holman Dynamo Push-Up;1277
Band-suspended kettlebell bench press;313
HM Banded Cross-Over Pull;1011
Rusin Band Pull-Apart;2212
UNS Banded Push-Up;2763
Taylor Band-Assisted One-Arm Push-Up;2670
Incline band bench press;1642
Band push-up;302
Band chest fly;292
Close-grip bench press;556
Barbell Bench Press - Medium Grip;329
Decline barbell bench press;605
Barbell Incline Bench Press Medium-Grip;342
Board bench press;434
Band-suspended kettlebell bench press;313
Paul Carter Incline Bench Press;2071
Incline bench press;1644
Bench press;412
TBS Close-Grip Bench Press;2648
AM Flat Bench Barbell Press;205
UP Bench Press;2786
UP Close-Grip Bench Press;2794
King Maker Barbell Bench Press;1727
King Maker Incline Barbell Bench Press;1736
30 Chest Incline Barbell Bench Press;92
30 Chest Barbell Bench Press;84
30 Chest 30-Degree Incline Dumbbell Press;82
Spoto press;2502
Kettlebell plyo push-up;1715
Band-suspended kettlebell bench press;313
FYR2 Push-Up to Kettlebell Hike Combo;908
Holman Jump to Push-Up;1364
Holman Foot-Elevated Push-Up;1320
Holman Feet-Elevated Push-Up;1307
Total Fitness Plyo Push-Up;2701
Scapular push-up;2219
King Maker Push-up;1740
Warrior push-up;2838
Taylor Roll-Over Push-Up;2676
Taylor One-Arm Push-Up Slow Negative;2675
30 Chest Push-Up To Isometric Hold;102
30 Chest Push-Up;101
30 Chest Bench Push-Up;85
MetaBurn 3-Phase Push-Up;1898
MetaBurn Fast Feet To Push-Up;1921
MetaBurn Judo Push-Up To Pike Push-Up;1927
MetaBurn Pike Push-Up;1930
MetaBurn Push-Up To Frogger;1940
MetaBurn Push-Up With Hand Side-Step;1941
MetaBurn Push-Up With Hand-Up Rotation;1942
MetaBurn Sphinx Push-Up;1956
MetaBurn Spiderman Push-Up;1957
Roberston Push-up to Down Dog;2189
FYR2 Push-Up-Breakdancer-Shoulder-Tap Complex;909
ACFT Hand-release push-up;184
1.5-rep push-up;0
ACFT Triple-clap push-up;190
ACFT Superman push-up;189
Cross-over push-up;580
Wrist Circles;2866
Glute Kickback;975
Standing hip extension;2579
Seated Glute;2242
Lying Glute;1827
Seated Glute Stretch;2243
Neck Bridge Supine;1992
Glute bridge;976
Single-leg glute bridge;2417
Step-up with knee raise;2590
Lying glute stretch;1846
Knee Across The Body;1745
One Knee To Chest;2009
Walking High Knee;2825
Walking Butt Kicks;2823
Walking Glute Stretch;2824
Lunge kick;1818
Curtsy lunge;587
Alternating standing glute stretch;257
Side-lying leg lift;2320
FYR Progressive High Knee;818
Glute-Ham Raise - Gethin Variation;978
Lunge glute stretch;1815
Natural Glute Ham Raise - Gethin Variation;1989
Groiner;987
HM Alternating Donkey Kick;993
HM Alternating Slow Step-Down With Chair;1004
HM Right Side Iron Cross;1107
HM Single-Leg Bridge;1121
HM Hi-Low;1057
HM Kick-Back;1072
HM Left Side Iron Cross;1081
HM Left Side-Kick;1082
HM Leg Lifts;1084
Walking lunge;2827
High Plyometric Box Jump;1191
Barbell hip thrust-;369
UN Glute Bridge;2753
Holman Donkey Kick;1273
Holman Hip Raise with Alternating Kick;1355
Butterfly;474
Smith machine bench press;2457
Machine chest press;1869
Smith Machine Incline Bench Press;2450
Smith Machine Close-Grip Bench Press;2448
Machine chest fly;1868
Machine bench press;1867
Machine Seated Chest Press - Gethin Variation;1861
Smith machine weighted push-up;2479
Smith machine incline bench press-;2466
Smith machine decline bench press;2462
AM Pec Dec;211
30 Chest Machine Flat Chest Press;98
Smith machine push-up;2471
30 Chest Smith Machine Incline Chest Press;105
30 Chest Smith Machine Chest Press;104
30 Chest Machine Incline Chest Press;100
30 Chest Machine Fly;99
30 Chest 30-Degree Incline Smith Machine Press;83
Low-cable cross-over;1811
Incline cable chest fly;1645
Cable Crossover;479
Single-arm cable cross-over;2349
Lying cable chest fly;1840
Paul Carter Cable Cross-Over;2067
One-Arm Cable Crossover - Gethin Variation;2010
Incline Cable Fly - Gethin Variation;1624
Cable Cross-Over - Gethin Variation;478
Seated cable chest fly;2265
Single-arm incline cable cross-over-;2371
High-to-low cable chest fly;1196
UP Cable Cross-Over;2788
UP Cable Fly;2791
30 Chest Low-To-High Cable Fly;97
30 Chest Incline Cable Fly;94
30 Chest Incline Cable Chest Press;93
30 Chest High-To-Low Cable Press;91
30 Chest High-To-Low Cable Fly;90
30 Chest Shoulder-Height Cable Fly;103
Cable Pec Fly;486
Medicine Ball Chest Pass;1883
Medicine ball sprawl to chest press;1896
Medicine ball push-up;1892
Dumbbell Bench Press;642
Dumbbell Flyes;670
Incline dumbbell bench press;1649
Decline Dumbbell Flyes;596
Incline Dumbbell Flyes;1628
Neutral-grip dumbbell bench press;1996
Decline dumbbell bench press;607
Single-arm kettlebell row;2382
Straight-arm dumbbell pull-over;2605
Bent-arm dumbbell pull-over;421
Close-grip dumbbell bench press;557
Single-dumbbell push-up;2406
Dumbbell Fix Dumbbell Floor Chest Fly;653
Dumbbell Fix Traveling Push-Up;667
Incline dumbbell chest fly;1651
Paul Carter Dumbbell Shrug;2070
Dumbbell push-up row;721
TBS Dumbbell Incline Press;2651
Incline Dumbbell Fly - Gethin Variation;1627
Dumbbell bench press-;691
Decline dumbbell fly and press;609
Incline dumbbell fly and press;1652
Single-arm decline dumbbell bench press;2356
Single-arm incline dumbbell bench press;2372
Incline Dumbbell Press - Gethin Variation;1630
Dumbbell Chest Press - Gethin Variation;645
Dumbbell Floor Press - Gethin Variation;669
Decline Dumbbell Press - Gethin Variation;597
Dumbbell chest fly;695
Machine rear delt fly;1874
AM Dumbbell Bench Press;202
UP Incline Dumbbell Press;2800
UP Incline Dumbbell Fly;2799
Holman Push-Up to Belly Touch;1425
Single-arm dumbbell floor press;2359
Total Fitness Weighted Push-Up;2708
King Maker Standing Dumbbell Shoulder Press;1741
30 Chest Incline Dumbbell Fly;96
30 Chest Incline Dumbbell Bench Press;95
30 Chest Dumbbells-Together Press;89
Assisted Single-Arm Pull-Up;268
Assisted Single-Arm Chin-Up;267
30 Chest Dumbbells-Together Incline Bench Press;88
30 Chest Dumbbell Fly;87
30 Chest Dumbbell Bench Press;86
30 Chest 30-Degree Incline Dumbbell Fly;81
FYR2 Single-Dumbbell Push-Up;923
Close-grip EZ-bar bench press;553
Chest dip;532
Weighted Push-Up;2843
Plate-weighted push-up;2105
Double-bar roll-out chest fly;631
Holman Plate Dynamo Push-Up;1413
Holman Towel Drag Two Steps to Push-Up;1548
Taylor Val Slide Push-Up/Fly Combo;2680
Feet-elevated push-up on ball;943
Standing alternating band speed row;2556
Band roundhouse elbow;303
Palms-down wrist curl over bench;2042
Palms-up wrist curl over bench;2044
Seated palms-up wrist curl;2278
Dumbbell suitcase carry;744
Suitcase Dumbbell Carry;2612
Side plank with dumbbell external rotation;2317
Dumbbell farmer's walk;702
Landmine Press and Catch;1767
Plate halo;2100
Bryant Wrist Curl;465
Single-arm cable push-down;2352
HM Monster Walk;1087
UNS Banded Glute Bridge;2762
FYR2 Banded Glute Bridge;842
Piriformis SMR;2086
Barbell glute bridge;366
Barbell Hip Thrust;341
UN Rear Foot Elevated Split Squat;2760
Kettlebell thruster;1721
Taylor Kettlebell Swing;2674
UN Goblet Squat;2754
Single-arm triceps kick-back;2403
Holman Lateral High Knees to Quad Touch Jump;1374
FYR2 Dumbbell Hip Thrust;863
FYR2 Glute Bridge Dumbbell Floor Press;871
Single-leg cable hip extension;2412
Cable rope pull-through deadlift;502
UNS Cable Pull-Through;2765
30 Legs Glute-Ham Raise;123
Holman Left Leg Donkey Kick;1384
Holman Diagonal Right Leg Step-Out to Right Knee-Up;1270
Holman Right Leg Donkey Kick;1448
Holman Butt Tap to Jump;1254
